"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @renu_18: Lol<ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
He is actually speaking about his own sense of panic after hearing that more #SurgicalStrikeonBlackMoney is yet to come…",FALSE,0,NA,2016-11-13 12:05:50,FALSE,NA,"797772457180622848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manajitg",5,TRUE,FALSE,NA,NA
"2","<U+0D24><U+0D1F><U+0D4D><U+0D1F><U+0D2E><U+0D3F><U+0D1F><U+0D4D><U+0D1F><U+0D42><U+0D1F><U+0D47> <U+0D2A><U+0D46><U+0D23><U+0D4D><U+0D23><U+0D46> <U+0D0E><U+0D28><U+0D4D><U+0D28><U+0D4A><U+0D30><U+0D41> <U+0D15><U+0D2E><U+0D28><U+0D4D><U+0D31><U+0D4D> <U+0D2A><U+0D4D><U+0D30><U+0D24><U+0D40><U+0D15><U+0D4D><U+0D37><U+0D3F><U+0D1A><U+0D4D><U+0D1A><U+0D3F><U+0D30><U+0D41><U+0D28><U+0D4D><U+0D28><U+0D41> 
<U+0D39><U+0D39><U+0D39>
#SurgicalStrikeonBlackMoney
#SurgicalStrikeOnCorruption… https://t.co/OLAkyGTjBs",FALSE,0,NA,2016-11-13 12:05:47,TRUE,NA,"797772445092560896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tagocharly",0,FALSE,FALSE,NA,NA
"3","RT @nupur11: #SurgicalStrikeonBlackMoney
<U+092E><U+0941><U+0901><U+0939> <U+092E><U+0947><U+0902> <U+092C><U+0924><U+093E><U+0936><U+093E> <U+0928><U+0939><U+0940>
<U+092C><U+0947><U+0908><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0947> <U+092E><U+0941><U+0901><U+0939> <U+092E><U+0947><U+0902> <U+0915><U+0921><U+093C><U+0935><U+0940> <U+0926><U+0935><U+093E> <U+0939><U+0948>
<U+091C><U+094B> <U+092A><U+093F><U+092F><U+0947> <U+092E><U+0941><U+0916><U+094D><U+092F> <U+0927><U+093E><U+0930><U+093E> <U+0938><U+0947> <U+091C><U+0941><U+0921><U+093C><U+0947><U+0917><U+093E>
<U+091C><U+094B> <U+0928> <U+092A><U+093F><U+092F><U+093E> <U+0928><U+0924><U+0940><U+091C><U+093E>…",FALSE,0,NA,2016-11-13 12:05:39,FALSE,NA,"797772410275688448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hre_Krsna",1,TRUE,FALSE,NA,NA
"4","RT @bhupendrachaube: Delhi airport must be the only airport in the world today where ATM machine has no cash. #SurgicalStrikeonBlackMoney h…",FALSE,0,NA,2016-11-13 12:05:16,FALSE,NA,"797772314691543040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krishanu76",74,TRUE,FALSE,NA,NA
"5","#SurgicalStrikeonBlackMoney
<U+092E><U+0941><U+0901><U+0939> <U+092E><U+0947><U+0902> <U+092C><U+0924><U+093E><U+0936><U+093E> <U+0928><U+0939><U+0940>
<U+092C><U+0947><U+0908><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0947> <U+092E><U+0941><U+0901><U+0939> <U+092E><U+0947><U+0902> <U+0915><U+0921><U+093C><U+0935><U+0940> <U+0926><U+0935><U+093E> <U+0939><U+0948>
<U+091C><U+094B> <U+092A><U+093F><U+092F><U+0947> <U+092E><U+0941><U+0916><U+094D><U+092F> <U+0927><U+093E><U+0930><U+093E> <U+0938><U+0947> <U+091C><U+0941><U+0921><U+093C><U+0947><U+0917><U+093E>
<U+091C><U+094B> <U+0928> <U+092A><U+093F><U+092F><U+093E> <U+0928><U+0924><U+0940><U+091C><U+093E> <U+092D><U+0941><U+0917><U+0924><U+0947>
#PMModi",FALSE,1,NA,2016-11-13 12:05:13,FALSE,NA,"797772301932474368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nupur11",1,FALSE,FALSE,NA,NA
"6","RT @SirJadeja: Do You Support Prime Minister Modi's #SurgicalStrikeonBlackMoney?

RT -Yes
Fav -No

#BlackMoney #CORRUPTION #CurrencyBan Rs…",FALSE,0,NA,2016-11-13 12:05:03,FALSE,NA,"797772260605972480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","persistantWebS",6205,TRUE,FALSE,NA,NA
"7","#SurgicalStrikeOnBlackMoney <U+0915><U+093E> <U+092F><U+0941><U+0927><U+094D><U+0926>
@narendramodi <U+091C><U+0940>""<U+0908><U+092E><U+093E><U+0928><U+0926><U+093E><U+0930><U+094B><U+0902>""<U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0932><U+0921><U+093C> <U+0930><U+0939><U+0947> <U+0939><U+0948><U+0902>!<U+0939><U+092E> <U+092E><U+094B><U+0926><U+0940><U+091C><U+0940> <U+0915><U+093E> <U+0938><U+093E><U+0925> <U+0926><U+0947><U+0902>
<U+0935><U+0930><U+0928><U+093E>""<U+092C><U+0947><U+0908><U+092E><U+093E><U+0928>""""<U+091C><U+092F><U+091A><U+0902><U+0926>""<U+092B><U+093F><U+0930> <U+0939><U+093E><U+0935><U+0940> <U+0939><U+094B><U+0902><U+0917><U+0947><U+0964>",FALSE,1,NA,2016-11-13 12:04:39,FALSE,NA,"797772158999085056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prakash_lekhak",0,FALSE,FALSE,NA,NA
"8","RT @renu_18: Lol<ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
He is actually speaking about his own sense of panic after hearing that more #SurgicalStrikeonBlackMoney is yet to come…",FALSE,0,NA,2016-11-13 12:04:27,FALSE,NA,"797772108977885184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajgrad",5,TRUE,FALSE,NA,NA
"9","RT @SbSdesi: #DeMonetisation  #IndiaFightsCorruption #BlackmoneyCleanup  #ModiinGoa #SurgicalStrikeonBlackMoney #ModiFightsCorruption #WePr…",FALSE,0,NA,2016-11-13 12:04:18,FALSE,NA,"797772071740854272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajendr76194898",4,TRUE,FALSE,NA,NA
"10","RT @SbSdesi: #DeMonetisation  #IndiaFightsCorruption #BlackmoneyCleanup  #ModiinGoa #SurgicalStrikeonBlackMoney #ModiFightsCorruption #WePr…",FALSE,0,NA,2016-11-13 12:03:45,FALSE,NA,"797771933613981696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eshu201",4,TRUE,FALSE,NA,NA
